Index,Recipient Name,State/Territory,Type,Interim Report Status,Interim Report,Recovery Plan Status,Recovery Plan
 ,"Sharon, Pennsylvania",Pennsylvania,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emNz/D7_J6lCnxUtxeZfXaOC1W3JceXqMABuwS_LGXcQ4mFg,Not Applicable,
 ,"Monterey County, California",California,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emSy/52cdBp0K4s65_RG_Ej5A20OwHfW.f_gNUv9YiV4AbdQ,Submitted,https://home.treasury.gov/system/files/136/Monterey-County_2021-Recovery-Plan_SLT-0770.pdf
 ,"Oswego County, New York",New York,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emSz/SM2WulxSiqhqcV8MsiTYDDbAAqltxmc538jcsdjPv18,Not Applicable,
 ,"Evansville, Indiana",Indiana,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emT0/JBhPZtJ_XQ_zrBPd5kOJTXBD7TY8FbhcxtDDs9MCc1Q,Not Applicable,
 ,"Muskegon, Michigan",Michigan,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emT1/S6CtaRf1Y4L0CI0xY8_.C3sj9K0mhSNJzLtrziOczHk,Not Applicable,
 ,"Jackson County, Wisconsin",Wisconsin,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emT2/2AYzXF5BMkuiknsLFwB6X6noZTDrL8Jo2EyjnktIli0,Not Applicable,
 ,"Russell County, Kentucky",Kentucky,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emT3/tsJmWkEPVrwd7svjN.WFwmfGQxsw3s3hF_cGnwPVDUA,Not Applicable,
 ,"Borough Of State College, Pennsylvania",Pennsylvania,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emT4/bbVp7Zm1v7uf.w.PWJyoc2dFESXucz19Lsa.1a354eI,Not Applicable,
 ,"Bloomington, Illinois",Illinois,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emT5/vkyCmfWlLgeWxPetHEUUzRfvAFhNBPNhZqijkOGeM7k,Not Applicable,
 ,"Flint, Michigan",Michigan,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emT6/ANzDeTpq21UNK03gT63r6GiFZMUfsptpfn2QcyiBhTk,Not Applicable,
 ,"Goochland County, Virginia",Virginia,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emT7/iDkT57g8kWuvwmXbbx9j9TJ19WQXtm5wfxjQVzoR8Q8,Not Applicable,
 ,"Cortland County, New York",New York,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emT8/9535YniB1XHkEWdWXiRcyLWr5tjjxOHHdT8uEVAjkKg,Not Applicable,
 ,"Southfield, Michigan",Michigan,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emT9/wKGTYOC0yIh5JDaBWTiLfTjrEHy1CfPY8SpOEeMU9Fg,Not Applicable,
 ,State of Virginia,Virginia,State/DC,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emTH/i8k2K.lLX3lQRzyGr2fRIvP6frtcXM4gLAuNd9hhaPw,Submitted,https://home.treasury.gov/system/files/136/Virginia_2021-Recovery-Plan_SLT-0879.pdf
 ,"Christian County, Kentucky",Kentucky,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001eyna/STlQSd6tX94XRGFnVgClhb2jbpietWe9UUUdtA_.o.E,Not Applicable,
 ,"Pompano Beach, Florida",Florida,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001eynd/RnfofTo6lw9a.UoXOr2dtqX1FMwrytvhgkyEFHDf2_A,Not Applicable,
 ,"Chester County, South Carolina",South Carolina,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emTK/ZLvxNJqn91MrXTEfQfxx18dpl_ROXzf1rMadL3F011k,Not Applicable,
 ,"Carroll County, Arkansas",Arkansas,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emTL/KCkcpsi5rwMKAOEUVdL1y82KgMj3GROzaTkJseGAbF8,Not Applicable,
 ,"Laramie County, Wyoming",Wyoming,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emTM/yciounfAZ6cMLsii1_4_2nTYSjk2Zy06hLqhZsZsoZY,Not Applicable,
 ,"Pierce County, Georgia",Georgia,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emTN/Pp3RWTT9dfPtothNhAuvv3UX5sQ73M1qAcWfMsnP5KA,Not Applicable,
 ,"Carver County, Minnesota",Minnesota,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emZE/SiEU09xw7XZbfrW7lbEXS.sERSDCKaNw5lu0yVjIcsw,Not Applicable,
 ,"Bridgeport, Connecticut",Connecticut,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emZF/pBfmtuKhAqmy692unf2Vmcz1tOAmzqvV3UDNCNndbUo,Not Applicable,
 ,"Marion County, Illinois",Illinois,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emZG/A_S3pT4sQTyrAU8MuR_Bnscj924QfkiycycaVAh5_H8,Not Applicable,
 ,"Isle Of Wight County, Virginia",Virginia,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emZP/DrVXv8O0hbyMeTzVnZ51swrw0YsMf7HIZdejZvR0D7s,Not Applicable,
 ,"Meade County, Kentucky",Kentucky,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emZQ/bcRHmH2VnHbqfQNfJJu1m0JuNgNsvP9cLooDW2_DRZg,Not Applicable,
 ,"Lamar County, Texas",Texas,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emZR/V5a24NlnTnL4V7wVybp9mmZEgCCDYC2OiF9Wc7FZW0o,Not Applicable,
 ,State of Maine,Maine,State/DC,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emZS/2msL2vzDGYvhzp37W3lWUG7f9quK49ukGr2HJsXhXsI,Submitted,https://home.treasury.gov/system/files/136/Maine_2021-Recovery-Plan_SLT-0817.pdf
 ,"Kent County, Michigan",Michigan,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emZT/G78YHjZG92sJ683sup55k5pSBxQi.CHPCDrpo_DsMPY,Submitted,https://home.treasury.gov/system/files/136/Kent-County_2021-Recovery-Plan_SLT-0818.pdf
 ,"Downey, California",California,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emZU/kagPGhXy_iCGXNrskBMJmj_BmBlaI1_nr685BvqpXp4,Not Applicable,
 ,"Jupiter, Florida",Florida,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emZV/YekitGdcjggFR4MZ3Cf7ef9KJVm9hNaUoZBLLNkv7PI,Not Applicable,
 ,"Becker County, Minnesota",Minnesota,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emZW/37GSREkCktO3IsbEIQhNaPNH58drhY.LppksajMA9Gs,Not Applicable,
 ,"Lamar County, Georgia",Georgia,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emZY/.LLiVKugosZRVVn4k8HztcJ9U.weS5GiZPWKIxw1Ypc,Not Applicable,
 ,"Lee County, Illinois",Illinois,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emZZ/hRvpw1rMH4mXgRrYmLuDUk73jd4OERRtqQia7gFozF4,Not Applicable,
 ,"Westmoreland County, Virginia",Virginia,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emZa/LDCypa_42fsiCR83XFq_mrxUFne16Sk07A.MaWGcXzk,Not Applicable,
 ,"Ozaukee County, Wisconsin",Wisconsin,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emZb/Xrdin2hWKlnnePq9F8JJESLQSlZmRvd_Y_.OwImHDNU,Not Applicable,
 ,"Rock County, Minnesota",Minnesota,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emZj/igI42hMDH_cY3Qbh2VTP9Y7unpDOTj_EEbX_ZUQpMas,Not Applicable,
 ,"Wilmington, North Carolina",North Carolina,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emZk/zH2ccNErhYZbQW5CzKdkJBrX6_pthPGssG1Jtawcpg4,Not Applicable,
 ,"Chippewa County, Minnesota",Minnesota,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emZl/iHMgsf2.dyK_pSfVMdXMoCJ7dZoSLNPunfsVzQLQVug,Not Applicable,
 ,"Alamance County, North Carolina",North Carolina,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emZm/Lfm4Z8TMiIyx31QT5WUD8zWdQvAZFBZPo39RrXsHjxo,Not Applicable,
 ,"Vineland, New Jersey",New Jersey,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001eynl/50wNZGCMmjLll.spncPD8S0wnyERJD8FnIYU8pel2.I,Not Applicable,
 ,"Lincoln County, Georgia",Georgia,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emZo/orvXJC26wcoOJpD2pgpUn.JrMkwlV1tx8xFTsh6eQ9E,Not Applicable,
 ,"Hancock County, Georgia",Georgia,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emZp/VYD5CoZ2E6MpjPIzkK4J1Enp7OGUgLzse5JrOJ1Tt7U,Not Applicable,
 ,"Saline County, Arkansas",Arkansas,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emZq/9gFMWQidvv0EpCoxfdhbyNA_TYFIoLIdTtV1AWKCzGY,Not Applicable,
 ,"Union Township, New Jersey",New Jersey,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emZr/c9ncLKedSBebIYjM6Dmvdj0ULo2W.CSFa3GdYDV2BnA,Not Applicable,
 ,"Wichita County, Kansas",Kansas,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emZs/bpNkRGj47h4Xeucv3brdEHfJl9X_40jldpKT_v__4KE,Not Applicable,
 ,"Paulding County, Georgia",Georgia,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emZX/Vy_IORG62RTj_l_TCFthe_fsgSWBmaDJem2rAZVFQrc,Not Applicable,
 ,"Lowndes County, Georgia",Georgia,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emZt/gvyuJxQCVKxXr_Tc5lPG5yi2iDOr5SOFaF3r8nqXPSo,Not Applicable,
 ,"Brunswick County, North Carolina",North Carolina,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emfD/F2aHj6Q8Yv_or48MSxvLQ1yYknSMkTRKCbwtNwBe2Ak,Not Applicable,
 ,"Pearland, Texas",Texas,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emfE/0JWKrwlnRT0_64csWfIOCOtzLIi6CjlRhzCtOmdyyp0,Not Applicable,
 ,"Orange City, California",California,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emfF/q3Dmm8YTGX6ciIZJyOKLBWSXYq2bahG7KWIgxN9TLgA,Not Applicable,
 ,"Nicholas County, Kentucky",Kentucky,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emfG/UjgEHlabKmZiz6WL6y3lxN48MEV2lFZCr4cujIytRdM,Not Applicable,
 ,"Itawamba County, Mississippi",Mississippi,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emfH/j1NvQIzKQMlFtDLCcU15EAALd1HykU8DCMQ.lQ.xWYs,Not Applicable,
 ,"Victoria County, Texas",Texas,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emfI/LcoA6lTIemvnaIxBxmKvmpAkyCEulhOc974s1Ethr38,Not Applicable,
 ,"Johnson County, Iowa",Iowa,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emfJ/FI2PBh5Txzjoh_reWSjjfRdq4Iv_vIh7zpmyzZV39Xg,Not Applicable,
 ,"Manhattan City, Kansas",Kansas,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emfK/YuWgkCmqouQX8gV.7yL4D6q5V02fiztlsbjAFSicXJw,Not Applicable,
 ,"Municipality Of Bayamon, Puerto Rico",Puerto Rico,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emfN/HICezUeb_HvguLc9R5fTZ_FSoG.GBhEHRZ.VebEiepE,Not Applicable,
 ,"Lewiston, Idaho, Idaho",Idaho,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emfO/WTGA5_5oKTg8ShIMntP.TgesdxdOy8rHShbeneN3t1w,Not Applicable,
 ,"Washington County, Utah",Utah,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emfQ/z50V_G4yE3o4yRSt3piZUvCGPFKe.nOM8rm4RrbW7JQ,Not Applicable,
 ,"Saline County, Illinois",Illinois,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emfR/BZ_gx7ws04gFvfn2kHu9_kaSKfKL7_w2OgvaTYz1QYo,Not Applicable,
 ,"Miami Beach, Florida",Florida,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emfS/ssrylZkouXk.4SPHwf8VKu.xLGYyjXBllO.WqVAnvq0,Not Applicable,
 ,"Peoria, Illinois",Illinois,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emfT/AJMWOoikHK0l2v7mTsQFL2PmwprSnKEpN5zZf.fSW7I,Not Applicable,
 ,"La Porte, Indiana",Indiana,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emfU/p4MeB7PwAiLV4Wgmg11IYQh35GQhlNpzGxgcw7R0qZo,Not Applicable,
 ,"Lawrence, Kansas",Kansas,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001eynw/z.eJItYU8QCPZDW8tdGmkt9yePln5E1m22obu3NQAYg,Not Applicable,
 ,"Lynchburg City, Virginia",Virginia,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emfW/rsomp_g4Iy4C1dB1OAsoeUZVGs.MTmLlDMGu8HAOlwE,Not Applicable,
 ,"Coconino County, Arizona",Arizona,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emfX/YyhKoDANI61rKlqvuYlmQxaTuhIgeM1qnuuBOZRM5fQ,Not Applicable,
 ,"City Of Concord, California",California,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emfY/63La0hyxcBwO2DmNz7zfF4nvC4QO10hcU.jEdYsCvws,Not Applicable,
 ,"Cleburne County, Alabama",Alabama,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emfZ/SZbHaD9hnqaeyK5V_twOu1uhWBZ.gbMklh085nWFxew,Not Applicable,
 ,"Mineral County, Colorado",Colorado,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emfc/lKcSJa1aIBEVO1NMUy9UeZuVuFrbC45Ya0odaNvQi.k,Not Applicable,
 ,"Watertown City, New York",New York,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emfd/c3BuyaQHQkFUkvhpQiTIe8gKOJpKd3jlEQDojnt8Kzw,Not Applicable,
 ,"Freeborn County, Minnesota",Minnesota,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emfe/xTJfsCE5v5QIJZBB.od_Ouk_GoYM4hFT3QboxuhU3Q0,Not Applicable,
 ,"Fairfield County, Ohio",Ohio,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emff/kfQMoehlwXReJ3vRqAttxJBFPuQN2xX2sThMpST52Io,Not Applicable,
 ,"Springfield, Massachusetts",Massachusetts,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emfg/3H8am26Qy0ChhraAO7eOmyCMSlIbU3BWGHRGIcyYWTg,Not Applicable,
 ,"Colbert County, Alabama",Alabama,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emfh/gr2NmTF2IznKQUjvBo1f.2PgyKyiB3gpl7nJe5D2KpY,Not Applicable,
 ,"Douglas County, Kansas",Kansas,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emfP/p1pAcGnTzjXb5eAsvgk.oYHc1DM0epSALA7dHHgeipI,Not Applicable,
 ,"Great Falls, Montana",Montana,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emkO/j2gTLGliOfVHYfm6byzTc.Z.tjypB0qtfjtQPq94nRk,Not Applicable,
 ,"Schley County, Georgia",Georgia,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emkS/k.Z9OL.dWW3GrGkmZfmmZTQA4sMjPapNcqxpy43OwAo,Not Applicable,
 ,"Effingham County, Georgia",Georgia,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emkT/8k260G1e.uhjT5UDDDKQ.G0shBSMSRtWWkB7HoHokU4,Not Applicable,
 ,"Little Rock, Arkansas",Arkansas,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emkU/LTXASBAgaF3kJeDc9DWpz2L4ioKmfTSdMl8x41QCzuU,Not Applicable,
 ,"Eden Prairie, Minnesota",Minnesota,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emkV/6FiHVA4rFzh09F9YnzRiG0KggKPBrx998rivhlYIbGw,Not Applicable,
 ,"Burke County, Georgia",Georgia,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emkW/LrAg8S70OMHqecrCIxvdt_qQfbMDt1Ojr.f4SiOYp9Q,Not Applicable,
 ,"Kittitas County, Washington",Washington,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emkX/iLuBN2NWPknLwGQK4A3zbJuvZzVNjLYGro3Fz27uQQA,Not Applicable,
 ,"Barberton, Ohio",Ohio,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emkY/.wW4bhJoUndVBZygYVcZ533kbAORiXuIXuyPXBg8dT4,Not Applicable,
 ,"Logan County, Colorado",Colorado,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emkZ/KrB2ljHT7zhBCOn2h4IlDjUNkEA99nhNQ8W23U1RHn8,Not Applicable,
 ,"Pickens County, Georgia",Georgia,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emka/s.7jCgWOuhPMejv_QQLBYQUk4w6mFj52SIah7gUCnJQ,Not Applicable,
 ,"Marion County, South Carolina",South Carolina,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emkb/3MQxYcmXl_GiHIGwXEGJIpmN.E.4sOlPUD1E5mnD67s,Not Applicable,
 ,"Patrick County, Virginia",Virginia,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emkc/40Ub0zmLW.4baQMYs9Jc6_FaCMBr6wIqmq5bJjQQAqg,Not Applicable,
 ,"Pike County, Alabama",Alabama,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001eyo8/g68rgTq0qEUimXSQX7Z8wEWQGYeSInCbA6KOpZ6S76c,Not Applicable,
 ,"Hughes County, South Dakota",South Dakota,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emke/kLU8wEIb4WoXA5ssm0rk164CHN2b._d0wEAyy9j9i6M,Not Applicable,
 ,"Putnam County, Tennessee",Tennessee,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emkm/r2_1N9OYKHE26HR05kVrT9mWqmzmHEs8LTux0JhNgDE,Not Applicable,
 ,"Santee, California",California,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emkn/DPLOkMOu2alFyLTQU3zbeFcjka.ZhwYlG_DJO98hgvM,Not Applicable,
 ,"Conway City, South Carolina",South Carolina,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emko/rGw2wwkYTMdbzUR_dAPcxPTpk7FWInhT4FD7UoxAWqY,Not Applicable,
 ,"Ashtabula County, Ohio",Ohio,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emkp/Zj6zy.FCdsAXZEmRke_r990N6ULWxAcHA8kMhHi4grc,Not Applicable,
 ,"Manchester, Connecticut",Connecticut,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emkq/VTLxlpwP8O.sfQy2O5U6xfFKw3J8RcCw7e.jFWry9R8,Not Applicable,
 ,"Clarke County, Alabama",Alabama,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emkr/28wkhh5fHvEhESUixvTwv_eTWunGi5m17KCvsHcO2y8,Not Applicable,
 ,"Citrus Heights, California",California,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emks/Ix3L20.nWr65zm9H6re9ktTufV35SMbCUVv5epbR_b4,Not Applicable,
 ,"County Of Burke, North Carolina",North Carolina,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emkt/00OiVuU6MzLgeCf6.TEcMpWKnRgo97D2_dS7.zOKJKw,Not Applicable,
 ,"East Lansing, Michigan",Michigan,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emku/bQ31gZGZYyaoZERoCYB7iCPDmio3hgQnKvuvZC.qYk4,Not Applicable,
 ,"Albany, New York",New York,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001empp/x8AvZLIDBrQx8XelUMJrGBJebfbhXMM2EXJNJ7ogb8o,Not Applicable,
 ,"Normal, Illinois",Illinois,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001empq/.FXsSCfcTARQaXu3t6hP9Sal7QLvoQczWbtXG1hlh4E,Not Applicable,
 ,"Santa Rosa, California",California,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001empr/ZtJ9od3JPqt7LyDd1ACSGhsHS7WywiX54Kb19jBrElQ,Not Applicable,
 ,"Harlingen, Texas",Texas,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emps/S7bK9A8tCey18d31DWinh3YvIZxJXjvDbYjGIcqVuQQ,Not Applicable,
 ,"Hanover Borough, Pennsylvania",Pennsylvania,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emq1/.L1jPYFpPF4Mf19tGNjFterYS5rE1DVb416BYvKEKEs,Not Applicable,
 ,"Thornton, Colorado",Colorado,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emq2/iMxfs_I4G0pTAt7jVbQcMVSYHMDbseq_ot_jd.rbbV4,Not Applicable,
 ,"Coweta County, Georgia",Georgia,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emq3/nPfPSnMpykqnE812WRyZkzAAKiyWhKYng2B8anf.PeM,Not Applicable,
 ,"Sandusky, Ohio",Ohio,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emq4/OElJXJ0_t5xt4QmZSYXzUQsHk0HACYyA6_OoS5G8Ppc,Not Applicable,
 ,"Bartlett City, Tennessee",Tennessee,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emq5/ceUAalsX1rOLuhg7q0e2sat6nKzZ738BpwRw57COJOA,Not Applicable,
 ,"Houston County, Minnesota",Minnesota,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emq6/gBNM_oMdnc30NuVF.R7NjkKbflAGG39C9K_KkEI6ApY,Not Applicable,
 ,"Houston County, Georgia",Georgia,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emq7/G5OH.0LK7_wX686jhcRhThaYe36oCQskCKIH4VSZkJ8,Not Applicable,
 ,"Woodson County, Kansas",Kansas,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emq8/BUjZXReNAS1WQZRoR3YVob2cRVBcjs2cvjIcF5_yu3E,Not Applicable,
 ,"Black Hawk County, Iowa",Iowa,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emq9/xzuaxzXP6GxYVqbHnu4Hm1EEGGjwJ.3XhEEL_gWcCHM,Not Applicable,
 ,"West Valley, Utah",Utah,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emqA/s9Zefdn9Fv2tIVe9caXIJ1vlE.XcziyzzR4QfCYUxkM,Not Applicable,
 ,"Imperial County, California",California,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emqB/azs.rjGWb8bNzeE2nmx8rLliC8mFS2PTtJstVmOfRvg,Not Applicable,
 ,"Camden County, Georgia",Georgia,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emqC/sYRXD2OBXDb05cRvuPmZQsA8qPf20o.5Pv4ChljoSDE,Not Applicable,
